Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2026-09-04;359,76;359,76;353,78;357,895;8.128.281;1.212.775.676
2026-09-03;351,84;359,37;342,34;357,16;14.269.785;4.968.370.745
2026-09-02;368,33;371,09;364,75;367,24;10.606.836;1.023.111.696
2026-09-01;364,34;371,325;362,00;369,68;6.474.854;683.584.114
2026-08-31;369,81;372,68;366,36;370,34;10.022.406;594.457.269
2026-08-28;373,30;376,57;365,40;368,79;5.889.156;636.827.195
2026-08-27;361,60;371,72;360,79;371,54;6.813.772;686.260.659
2026-08-26;357,32;359,46;350,07;355,59;5.049.676;742.337.343
2026-08-25;360,97;362,99;355,32;356,74;5.408.072;751.930.547
2026-08-24;365,28;366,07;358,71;358,76;6.382.354;1.906.633.026
2026-08-21;371,36;375,07;365,085;368,45;6.246.368;1.169.188.174
2026-08-20;364,21;367,12;362,31;364,03;5.522.975;715.870.005
2026-08-19;371,46;373,91;357,62;362,48;9.743.266;3.762.183.055
2026-08-18;384,50;385,70;377,01;380,00;7.789.659;3.835.174.235
2026-08-17;397,29;399,34;391,50;392,43;5.778.029;2.718.846.613
2026-08-14;411,99;412,50;388,51;392,99;8.439.703;1.377.797.545
2026-08-13;416,00;424,91;411,63;417,83;4.806.796;563.648.346
2026-08-12;426,25;426,25;414,65;416,06;5.491.006;555.403.732
2026-08-11;426,76;426,76;413,29;416,08;4.434.196;539.800.404
2026-08-10;427,00;432,73;420,30;422,25;5.531.765;642.092.513
2026-08-07;428,29;430,82;421,62;427,76;5.027.136;616.149.227
2026-08-06;420,34;427,58;410,88;420,565;4.941.245;450.859.577
2026-08-05;422,50;427,00;416,93;418,28;6.640.671;720.711.419
2026-08-04;402,93;422,03;400,88;418,16;11.714.868;6.865.486.304
2026-08-03;383,85;392,605;374,725;392,23;5.994.965;753.821.969
2026-07-31;394,81;399,90;379,79;389,28;7.940.884;740.034.316
2026-07-30;380,00;388,60;377,55;387,84;8.612.022;906.941.407
2026-07-29;379,66;386,12;369,52;370,32;8.371.154;698.640.704
2026-07-28;375,00;385,80;371,58;380,91;7.316.666;753.596.268
2026-07-27;389,31;389,60;373,63;383,22;6.063.040;612.890.459
2026-07-24;388,51;389,27;378,80;381,92;6.087.677;466.157.813
2026-07-23;391,52;397,60;386,85;392,80;6.320.778;512.463.797
2026-07-22;380,00;398,555;380,00;396,88;5.877.635;604.069.426
2026-07-21;389,99;390,50;379,29;386,50;5.668.029;535.976.212
2026-07-20;377,00;383,59;375,96;378,16;5.391.065;491.316.884
2026-07-17;365,82;377,295;357,80;370,825;7.664.291;1.152.698.909
2026-07-16;386,00;386,14;371,96;374,45;8.526.115;616.862.627
2026-07-15;396,02;398,90;386,74;394,28;5.837.984;627.859.622
2026-07-14;394,95;397,30;384,66;389,11;6.215.968;3.201.513.942
2026-07-13;393,25;395,745;383,42;384,05;7.991.577;609.151.391
2026-07-10;398,00;402,40;395,81;399,97;4.238.610;428.423.981
2026-07-09;402,00;407,51;387,97;401,11;8.485.714;1.226.895.105
2026-07-08;378,00;395,09;376,89;388,69;8.448.134;1.122.368.064
2026-07-07;366,50;372,90;362,01;370,80;7.757.106;907.306.458
2026-07-06;373,22;383,15;371,23;373,90;8.574.337;767.618.736
2026-07-02;366,04;374,00;356,45;360,45;10.120.753;868.764.896
2026-07-01;371,34;373,73;368,03;369,34;8.545.409;907.488.136
2026-06-30;374,89;379,60;370,70;377,75;11.011.948;847.538.398
2026-06-29;373,29;376,13;360,49;372,45;9.402.818;788.809.402
2026-06-26;370,99;373,625;363,83;365,02;15.188.340;8.139.078.394
2026-06-25;387,00;388,75;372,73;378,90;7.589.963;829.513.775
2026-06-24;386,26;388,74;376,97;382,07;8.963.004;949.896.786
2026-06-23;378,00;391,02;377,00;380,15;12.631.084;1.102.117.474
2026-06-22;413,84;414,50;392,00;392,69;9.523.941;1.027.251.212
2026-06-18;409,80;412,70;405,38;411,35;21.883.058;2.313.060.622
2026-06-17;388,63;400,595;382,68;392,90;10.072.259;1.203.197.861
2026-06-16;390,21;391,79;376,46;376,71;11.345.293;1.319.127.502
2026-06-15;395,40;395,75;388,60;393,94;10.751.686;1.034.722.433
2026-06-12;383,80;384,95;377,01;382,07;7.814.963;3.829.042.978
2026-06-11;373,57;389,44;370,84;385,01;11.743.678;973.859.921
2026-06-10;381,33;385,76;371,185;372,10;10.869.598;1.246.301.135
2026-06-09;400,69;407,84;370,35;392,16;10.603.297;1.176.560.556
2026-06-08;402,54;402,54;391,38;396,60;12.965.100;1.466.554.449
2026-06-05;407,505;410,50;385,59;385,73;16.152.893;1.899.101.043
2026-06-04;406,83;426,45;403,02;418,91;20.429.618;3.185.042.586
2026-06-03;495,00;495,00;472,67;479,23;14.726.600;2.178.221.774
2026-06-02;488,28;488,82;470,49;481,57;11.681.904;2.108.236.025
2026-06-01;450,00;465,99;442,24;459,97;9.499.358;1.869.255.189
2026-05-29;433,00;448,88;431,50;446,77;18.819.723;13.294.316.175
2026-05-28;421,11;429,63;414,14;426,58;5.804.612;3.455.011.588
2026-05-27;425,00;432,50;416,53;421,86;6.045.943;3.448.996.433
2026-05-26;418,69;435,26;417,00;422,01;7.177.174;976.838.822
2026-05-22;418,16;419,82;410,21;414,14;4.972.673;741.911.547
2026-05-21;413,80;422,24;410,50;414,57;6.889.210;872.715.148
2026-05-20;412,88;424,01;411,49;417,76;5.637.834;779.065.509
2026-05-19;409,84;417,62;405,88;411,07;7.003.226;1.084.860.934
2026-05-18;421,06;422,01;414,40;420,71;5.351.317;780.946.717
2026-05-15;432,68;432,68;422,01;425,19;8.196.443;171.966.677
2026-05-14;416,80;442,32;416,00;439,79;6.173.629;300.527.044
2026-05-13;415,00;418,63;404,80;416,79;5.893.375;179.104.835
2026-05-12;422,80;429,34;408,41;419,30;6.186.242;211.803.438
2026-05-11;428,20;433,59;425,08;428,43;6.112.443;172.959.909
2026-05-08;419,23;435,00;414,00;430,00;7.911.538;296.256.145
2026-05-07;422,00;426,44;406,32;412,56;7.898.752;286.948.185
2026-05-06;435,04;437,68;417,78;425,44;8.062.226;226.368.307
2026-05-05;421,50;433,39;419,35;427,36;6.959.698;304.722.196
2026-05-04;418,27;423,83;409,63;416,50;5.334.772;173.071.401
2026-05-01;415,71;423,17;413,43;421,28;3.793.005;291.950.519
2026-04-30;416,00;418,30;404,26;417,43;8.949.449;161.580.132
2026-04-29;403,34;405,60;396,80;405,45;5.151.610;233.906.049
2026-04-28;400,24;405,77;394,65;399,83;8.838.686;300.635.140
2026-04-27;420,00;422,75;414,69;418,20;5.237.326;200.934.150
2026-04-24;425,00;425,00;408,92;422,76;6.833.055;263.680.696
2026-04-23;422,65;429,30;417,84;419,94;5.969.235;214.913.374
2026-04-22;407,00;423,07;404,86;422,58;7.656.054;356.092.610
2026-04-21;399,20;402,65;399,05;402,22;4.940.635;150.591.456
2026-04-20;406,00;406,30;395,93;399,63;5.641.143;207.348.290
2026-04-17;400,90;406,725;399,89;406,54;7.872.995;2.885.040.275
2026-04-16;395,35;399,68;392,40;398,47;6.537.900;211.712.296
2026-04-15;390,00;397,08;385,69;396,72;8.650.027;352.160.226
2026-04-14;379,42;382,27;376,33;380,78;6.828.267;238.701.025
2026-04-13;370,13;380,83;369,48;379,75;8.045.029;251.503.863
2026-04-10;361,35;376,53;361,35;371,55;9.680.242;379.907.133
2026-04-09;352,35;358,66;351,51;354,91;6.227.021;189.727.804
2026-04-08;351,90;354,00;342,53;350,63;9.218.853;247.036.402
2026-04-07;327,08;334,15;321,87;333,97;7.851.352;213.252.063
2026-04-06;315,00;316,30;310,34;314,43;4.089.788;160.983.678
2026-04-02;304,82;314,69;301,755;314,55;4.159.827;100.322.273
2026-04-01;313,48;315,79;310,48;313,40;5.615.531;138.227.853
2026-03-31;298,94;310,30;296,34;309,51;10.553.290;162.690.951
2026-03-30;300,68;304,71;289,98;293,41;8.296.818;183.568.793
2026-03-27;306,68;307,50;298,88;300,68;7.133.922;122.870.401
2026-03-26;314,34;316,82;309,17;309,415;7.554.769;184.898.772
2026-03-25;323,10;324,29;316,75;318,81;6.186.897;1.949.020.510
2026-03-24;320,27;324,22;314,90;318,29;6.493.501;1.168.642.373
2026-03-23;318,00;326,48;315,18;322,51;8.884.170;161.147.014
2026-03-20;320,00;321,51;309,92;310,51;23.479.363;121.324.723
2026-03-19;312,49;323,25;308,55;319,84;8.012.597;121.046.154
2026-03-18;320,60;325,40;315,57;315,93;8.723.425;182.535.618
2026-03-17;325,05;327,40;317,27;321,31;7.665.471;2.137.230.347
