Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2026-09-04;513,78;534,99;510,15;524,14;1.733.112;898.757.971
2026-09-03;487,85;530,50;478,55;516,39;3.071.948;1.739.290.835
2026-09-02;461,00;497,92;432,34;492,20;4.766.402;2.169.463.083
2026-09-01;455,39;462,00;422,00;425,00;2.258.150;1.167.848.035
2026-08-31;463,91;474,00;456,01;456,01;2.831.976;2.480.739.085
2026-08-28;467,58;474,74;452,97;456,24;1.074.375;613.423.216
2026-08-27;466,68;472,26;459,36;472,26;1.194.423;799.198.788
2026-08-26;452,82;469,40;451,56;463,82;1.020.615;612.271.202
2026-08-25;442,46;457,29;442,17;451,50;1.064.571;697.178.634
2026-08-24;438,21;451,18;424,56;433,19;926.019;444.838.396
2026-08-21;439,35;444,43;429,85;442,08;1.047.481;721.409.579
2026-08-20;437,00;443,175;432,03;434,78;905.902;585.468.834
2026-08-19;468,00;470,775;427,79;437,55;1.634.066;895.225.387
2026-08-18;469,30;489,85;458,81;468,65;1.672.719;1.187.248.945
2026-08-17;495,00;495,51;469,43;479,81;1.259.207;912.216.977
2026-08-14;498,00;500,00;488,89;490,81;971.510;646.543.915
2026-08-13;501,95;514,00;487,54;494,51;1.501.117;828.632.714
2026-08-12;459,40;484,65;455,00;484,50;1.332.304;955.369.753
2026-08-11;449,89;449,89;431,435;440,97;1.378.037;1.066.742.996
2026-08-10;461,75;474,57;451,57;457,88;1.279.668;823.008.730
2026-08-07;437,75;455,73;417,00;453,77;1.050.919;569.982.441
2026-08-06;446,32;455,10;426,12;437,65;1.500.623;1.041.066.337
2026-08-05;466,75;485,37;461,91;462,70;1.600.385;789.051.655
2026-08-04;448,00;476,68;444,30;467,27;1.718.707;1.139.381.309
2026-08-03;397,98;432,28;390,81;429,02;1.182.785;718.996.025
2026-07-31;419,50;431,33;401,00;405,37;1.284.655;628.840.770
2026-07-30;386,83;412,87;383,31;404,81;1.311.782;727.968.265
2026-07-29;388,19;394,74;364,25;369,64;1.498.431;563.403.505
2026-07-28;395,00;395,00;359,29;392,10;1.690.525;686.098.143
2026-07-27;433,58;447,00;411,905;426,91;1.193.087;598.359.325
2026-07-24;438,00;451,48;432,40;437,50;859.662;454.485.860
2026-07-23;442,51;454,56;434,34;439,34;1.026.385;533.390.267
2026-07-22;413,77;451,00;413,77;441,80;1.319.933;687.712.560
2026-07-21;396,06;407,95;396,06;404,15;1.221.574;708.378.017
2026-07-20;399,96;403,19;381,05;381,88;1.067.936;490.740.483
2026-07-17;381,46;407,15;368,15;396,34;1.634.062;855.141.819
2026-07-16;403,11;413,72;391,16;391,38;1.501.999;677.986.725
2026-07-15;460,00;460,00;391,33;412,68;2.308.338;1.028.174.507
2026-07-14;443,34;463,275;443,34;457,54;1.539.226;833.703.278
2026-07-13;432,17;436,40;418,98;427,11;1.239.033;676.920.759
2026-07-10;448,48;452,50;433,24;434,97;1.011.270;507.384.192
2026-07-09;445,00;460,47;435,53;450,22;1.485.288;734.528.063
2026-07-08;425,00;449,13;414,00;431,97;2.105.555;991.433.416
2026-07-07;399,85;426,56;395,82;417,28;1.788.267;1.222.428.556
2026-07-06;394,00;429,53;393,25;411,80;1.684.331;846.446.779
2026-07-03;394,32;394,32;394,32;394,32;3.463.208;1.135.625.700
2026-07-02;413,05;422,23;386,06;394,32;1.534.352;754.422.360
2026-07-01;418,00;438,51;410,95;425,25;1.270.838;332.487.018
2026-06-30;412,00;433,42;409,10;431,46;1.885.043;1.553.078.196
2026-06-29;393,20;416,32;378,68;414,61;1.802.938;1.090.364.646
2026-06-26;396,25;401,00;385,37;399,49;3.252.335;987.854.082
2026-06-25;413,01;414,45;391,05;409,45;2.840.423;2.051.400.602
2026-06-24;420,10;440,14;418,34;434,06;1.372.020;698.538.614
2026-06-23;395,00;434,90;391,20;427,78;1.402.169;773.084.129
2026-06-22;421,00;443,98;414,70;418,71;1.681.408;975.440.233
2026-06-19;409,50;409,50;409,50;409,50;28.614.066;11.452.203.862
2026-06-18;424,75;435,96;407,92;409,50;7.016.587;7.025.974.873
2026-06-17;412,00;431,65;396,08;419,32;1.610.119;837.332.194
2026-06-16;413,53;421,76;402,25;404,08;1.376.124;729.169.696
2026-06-15;410,00;415,62;394,88;409,07;1.461.925;583.350.015
2026-06-12;384,91;408,24;381,51;395,57;1.597.467;943.548.533
2026-06-11;368,04;394,18;368,04;391,45;1.746.486;866.998.019
2026-06-10;379,44;398,83;369,66;369,83;2.158.557;782.422.490
2026-06-09;403,53;407,00;357,36;381,78;2.296.628;985.067.038
2026-06-08;398,00;406,05;385,86;400,77;2.277.056;1.142.329.286
2026-06-05;406,00;412,80;386,33;394,39;2.380.814;1.114.402.543
2026-06-04;404,00;430,37;399,00;422,05;2.866.406;1.475.067.231
2026-06-03;430,00;431,00;407,00;421,08;2.618.101;1.315.116.854
2026-06-02;464,32;468,53;433,43;435,31;2.911.454;1.592.157.859
2026-06-01;431,98;469,41;431,725;465,96;3.695.201;1.684.498.726
2026-05-29;420,00;429,00;402,51;420,91;6.243.649;3.510.789.840
2026-05-28;315,00;327,50;311,94;317,05;2.733.395;1.162.827.265
2026-05-27;306,53;312,00;298,62;305,32;1.444.036;562.671.830
2026-05-26;300,00;308,49;299,17;305,08;1.966.675;802.420.373
2026-05-23;295,19;295,19;295,19;295,19;4.557.778;1.165.487.747
2026-05-22;267,30;298,25;267,30;295,19;2.234.912;822.628.104
2026-05-21;241,00;254,36;240,95;252,80;1.127.097;482.062.540
2026-05-20;239,59;246,93;237,71;242,93;822.139;293.555.343
