Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2026-09-04;231,12;234,755;229,635;230,36;33.629.291;2.870.979.958
2026-09-03;225,93;230,40;224,77;228,45;32.420.971;2.846.362.909
2026-09-02;218,94;227,93;218,48;224,41;34.149.171;3.494.034.631
2026-09-01;217,04;220,41;215,10;217,44;28.140.079;1.782.928.756
2026-08-31;218,72;221,30;216,21;220,78;37.442.125;2.172.357.898
2026-08-28;227,01;229,25;216,82;217,55;49.424.920;4.123.930.893
2026-08-27;222,94;230,47;220,90;227,98;78.452.784;16.239.700.325
2026-08-26;212,56;213,59;209,235;209,66;43.507.554;2.117.519.679
2026-08-25;210,76;214,725;210,11;212,96;27.184.342;2.172.798.277
2026-08-24;215,45;215,48;207,37;208,48;32.981.752;4.723.417.776
2026-08-21;218,44;218,74;214,51;214,72;28.738.343;6.796.455.943
2026-08-20;218,62;219,85;215,665;216,85;22.109.640;1.423.305.168
2026-08-19;221,95;222,87;216,76;217,56;27.725.748;6.612.447.789
2026-08-18;220,31;221,63;218,70;219,74;30.465.862;7.892.805.598
2026-08-17;225,53;227,915;224,86;225,01;23.722.728;1.977.261.997
2026-08-14;226,94;227,48;224,50;225,16;20.444.816;1.490.923.474
2026-08-13;225,00;227,23;223,71;225,38;26.847.093;1.636.041.097
2026-08-12;220,80;225,10;220,20;224,22;30.057.585;2.442.568.017
2026-08-11;222,05;222,18;216,30;217,50;28.112.526;1.757.495.318
2026-08-10;223,20;224,11;216,77;217,55;29.815.227;7.598.470.326
2026-08-07;221,89;224,76;220,67;223,96;27.841.188;1.901.079.995
2026-08-06;221,63;223,61;217,27;218,99;29.125.168;1.825.628.893
2026-08-05;217,06;222,215;216,40;219,22;40.860.949;3.052.163.000
2026-08-04;211,86;213,06;209,055;211,94;42.210.452;11.024.939.069
2026-08-03;197,51;208,73;196,88;206,64;36.405.013;2.184.554.852
2026-07-31;198,49;201,97;194,95;200,75;44.111.375;2.080.650.158
2026-07-30;193,06;197,25;191,52;195,04;40.425.089;1.844.736.280
2026-07-29;195,61;197,05;190,01;190,01;43.179.837;1.851.126.056
2026-07-28;194,67;198,69;192,76;197,01;34.973.121;1.698.836.427
2026-07-27;208,04;208,75;195,45;196,51;40.556.686;2.263.174.964
2026-07-24;207,38;211,90;204,81;206,84;30.508.412;1.932.079.156
2026-07-23;209,31;210,85;205,98;208,81;32.483.807;1.536.815.759
2026-07-22;205,89;214,39;204,95;211,97;32.917.234;2.707.055.899
2026-07-21;207,70;208,65;204,03;207,29;30.193.207;1.632.763.678
2026-07-20;205,60;207,74;202,29;203,28;26.327.882;6.422.884.700
2026-07-17;202,74;206,64;197,98;202,81;39.048.341;6.602.939.103
2026-07-16;210,16;211,035;205,86;207,40;36.578.291;1.797.756.355
2026-07-15;212,00;213,80;206,04;212,50;37.734.536;2.258.747.653
2026-07-14;208,27;212,53;203,80;211,80;36.541.605;9.072.085.444
2026-07-13;209,375;210,57;203,35;203,53;35.129.002;1.912.533.729
2026-07-10;202,04;211,00;202,00;210,96;33.109.314;2.494.943.322
2026-07-09;204,35;204,58;198,97;202,78;37.131.401;9.287.293.191
2026-07-08;195,49;205,15;195,37;204,12;37.957.346;2.727.061.418
2026-07-07;192,27;198,40;191,15;196,93;32.386.285;1.897.583.511
2026-07-06;194,48;197,54;194,00;195,55;33.282.671;1.860.519.920
2026-07-02;197,12;200,05;192,35;194,83;41.076.345;2.120.857.295
2026-07-01;196,05;199,85;193,46;197,58;41.486.650;2.391.407.740
2026-06-30;197,17;200,63;195,11;200,09;65.476.852;2.387.903.231
2026-06-29;193,65;196,17;189,81;194,97;39.283.278;8.779.680.127
2026-06-26;193,18;195,54;191,22;192,53;60.214.770;1.665.578.956
2026-06-25;200,04;200,73;192,17;195,72;41.190.188;2.038.623.915
2026-06-24;200,04;201,65;196,585;199,00;46.757.626;2.476.167.757
2026-06-23;202,00;203,76;200,00;200,02;51.840.792;2.702.569.848
2026-06-22;211,50;213,99;207,72;208,66;37.677.005;2.495.322.578
2026-06-18;207,50;211,38;206,50;210,69;101.626.059;5.498.763.365
2026-06-17;208,26;209,20;203,45;204,65;37.979.044;1.877.672.813
2026-06-16;211,16;211,16;207,29;207,41;41.956.581;2.065.359.990
2026-06-15;209,00;212,705;208,34;212,45;42.326.921;2.577.629.316
2026-06-12;204,87;207,055;203,46;205,19;30.078.382;1.936.166.511
2026-06-11;201,58;205,66;199,54;204,66;41.630.128;2.001.897.080
2026-06-10;204,37;207,215;199,92;200,42;40.602.517;2.239.905.748
2026-06-09;210,76;211,39;199,36;208,19;45.057.555;2.503.983.779
2026-06-08;210,00;210,46;206,00;208,64;38.994.026;1.980.220.165
2026-06-05;214,62;214,87;204,34;205,10;62.727.827;3.597.402.173
2026-06-04;214,00;221,59;210,98;218,66;39.647.507;3.223.201.976
2026-06-03;221,76;222,79;214,52;214,75;40.505.924;2.694.471.740
2026-06-02;227,36;232,28;221,36;222,82;48.571.795;4.020.828.156
2026-06-01;215,87;224,87;215,72;224,36;54.005.924;4.517.584.556
2026-05-29;214,30;217,80;211,13;211,14;118.561.242;3.966.997.585
2026-05-28;211,37;215,51;211,32;214,25;33.212.507;2.435.252.669
2026-05-27;214,00;214,00;208,785;212,60;39.367.826;8.535.935.348
2026-05-26;216,51;218,18;212,00;214,86;43.534.163;10.545.844.587
2026-05-22;220,72;220,79;214,86;215,33;35.301.758;3.640.008.374
2026-05-21;222,16;227,38;217,94;219,51;49.381.213;4.820.879.288
2026-05-20;223,00;226,12;220,50;223,47;45.381.629;3.130.244.387
2026-05-19;219,80;224,47;217,93;220,61;40.064.510;2.986.330.236
2026-05-18;229,83;230,00;218,37;222,32;35.615.640;2.644.418.850
2026-05-15;230,00;231,49;224,25;225,32;53.339.018;2.354.734.068
2026-05-14;230,00;236,54;229,31;235,74;43.304.011;1.266.301.465
2026-05-13;225,00;227,84;221,58;225,83;36.430.370;730.649.596
2026-05-12;218,46;223,74;214,93;220,78;41.136.623;1.008.775.341
2026-05-11;214,05;222,30;213,89;219,44;41.769.593;806.869.821
2026-05-08;213,24;217,79;212,89;215,20;36.495.427;677.344.718
2026-05-07;208,34;214,19;206,50;211,50;40.094.481;622.681.098
